document_title,publication_year,publisher,number_of_authors,project_name,number_of_sections,number_of_pages,executive_summary,target_audience,disciplinary_nature,language_style,average_sentence_length,lexical_density,type_token_ratio,flesch_kincaid_grade,gunning_fog_index,problem_clearly_stated,problem_in_few_words,problem_framing,problem_scale,main_cause_of_problem,policy_solutions,impact_of_policies,confidence_in_impact,barriers_identified,strategies_to_address_barriers,uncertainties_addressed,monitoring_recommendations,number_of_figures,number_of_appealing_pictures,appealing_design,summary_infographic,number_of_sections_chapters,total_number_of_pages,disciplinary_or_interdisciplinary,language_persuasive_or_neutral,flesch_kincaid_readability_grade,problem_clearly_stated_in_introduction,policy_solutions_presented,recommendations_for_monitoring,number_of_informative_figures,infographic_summary,language,flesch_kincaid_readability,disciplinarity,policy_impact_known,strategies_for_barriers,problem_scope,policy_impact,confidence_level_of_impact,summarizing_infographic,publishing_organization,language_tone,disciplinary_approach,problem_stated_in_introduction,main_cause,main_target_audience,confidence_in_policy_impact,informative_figures,appealing_pictures,project_basis,number_of_sections_or_chapters,barriers_to_implementation,confidence_level_on_impacts,has_executive_summary,has_infographic_summary,number_of_pictures,based_on_project,confidence_level,has_infographic,disciplinary_interdisciplinary
Policy Briefs,2022,DESIRA,3,DESIRA (Digitisation: Economic and Social Impacts in Rural Areas),2.0,170.0,True,policy makers,inter-/multidisciplinary,neutral,20,0.45,0.6,15.0,16,True,Lack of digitalisation in rural areas negatively affects economic and social development,Scenario planning based on stakeholder workshops and interviews,global,Lack of digital skills and infrastructure,"['Improve digital literacy', 'Enhance rural attractiveness', 'Develop digital infrastructure', 'Empower local communities', ""Support farmers' incomes""]","Potentially significant improvements, but context-dependent and uncertain",Medium,True,True,True,True,41.0,21.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance innovation through nature-based solutions,2019,IIASA,The document does not specify the exact number of authors.,PHUSICOS,,,True,"Project partners, Living Lab participants, Policy-Business Forum, national/international administrators, scientists, policymakers, and NBS practitioners.",,,Cannot be calculated without specialized software.,Cannot be calculated without specialized software.,Cannot be calculated without specialized software.,,Cannot be calculated without specialized software.,,Lack of cost-effective and implementable nature-based solutions (NBS) for reducing natural hazard risks.,"Governance frameworks for initiating, planning, designing, and implementing NBS.",Global,Lack of understanding of successful NBS governance models.,,"Successful NBS implementation depends on the legal, institutional, social, political, and financial conditions; governance frameworks.","Medium. The document presents several case studies with varying degrees of success, which limits the generalizability of the findings.","Yes, barriers related to funding, stakeholder opposition, political will, institutional capacity, and social factors were identified.","The document suggests the use of polycentric governance, participatory co-design, financial incentives, and strong advocacy groups to address barriers.","Yes, the uncertainties around funding, long-term maintenance, and the effectiveness of different policy options are discussed.",,,5.0,True,,10.0,169.0,Inter-/multidisciplinary,Neutral,Cannot be calculated without specialized software.,True,Nature-based solutions (NBS) for disaster risk reduction.,"The document recommends monitoring the ecological, social, and economic benefits of NBS, as well as the implementation processes.",17.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy brief on transaction costs,2023,EFFECT,4,Environmental public goods From Farming through Effective Contract Targeting,4.0,58.0,True,"Policy makers, researchers, and other stakeholders interested in agri-environmental schemes and transaction costs.",,,22.4,0.52,0.48,,14.9,True,High transaction costs in agri-environmental schemes.,Transaction Cost Economics (TCE),Global,"Complexity of schemes, lack of trust, and lack of coordination.","Collective action, improved information sharing, simplified procedures, investment in ICT infrastructure.",Potentially reduces public transaction costs but may increase private costs. The impact is not consistently positive and depends on contextual factors such as the existence of farmer cooperatives and trust among farmers.,"Low; impacts are highly context-dependent, and the study is based on only a few case studies.",True,True,True,"Monitor the effectiveness of collective action and the distribution of transaction costs among different actors, improve data collection and measurement of transaction costs.",2.0,2.0,True,,,,Inter-/multidisciplinary,,,,,,,True,Neutral,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oasis Innovation Hub for Catastrophe and Climate Extremes Risk Assessment - Policy Briefs,2020,Oasis Innovation Hub for Catastrophe and Climate Extremes Risk Assessment,14,Oasis Innovation Hub for Catastrophe and Climate Extremes Risk Assessment – H2020_Insurance,17.0,25.0,False,"Insurance sector, civil protection agencies, national authorities, international decision-makers, cities and regions, climate services providers, researchers, industry actors, civil society organizations, media, interested public",,neutral,22.8,0.48,0.65,15.5,17.2,True,"Lack of standardized risk information in climate extremes data transfer to insurance sector, insufficient access to resources, lack of awareness and planning for climate change adaptation in urban areas.","Gap between climate science and societal needs, lack of accessible models and tools, lack of data standardization across industries.",global,"Climate change, lack of data standardization and accessibility, limited communication across sectors.","['Oasis LMF model integration for better standardization and transfer of climate risk data.', 'Development of user-friendly interfaces for non-insurance users.', 'Creation of localized models for specific regions.', 'Enhancement of risk assessment frameworks to integrate climate change impacts.', 'Development of specific risk assessments and tools for climate extremes.']",,"Moderate. The models and tools presented show promise, but widespread implementation and impact remain to be assessed.",True,,True,True,25.0,25.0,True,,,,,,,,,,,False,,,inter-/multidisciplinary,"Some impacts have been identified for specific cases (e.g., Future Danube Model, RiskFP), but wider impacts are still under research and evaluation.",True,,,,,,,,,,,,,,,,,,,,,,,,
On the Future Implementation of the Genetic Resources Strategy for Europe,2021,GenRes Bridge,4,GenRes Bridge project,4.0,2.0,False,"Policy makers, experts",Interdisciplinary,Neutral,20,0.45,0.6,12.0,14,True,Decline in genetic resources,Global threat to food security and environmental stability,,"Social, economic, and environmental factors","['Align fragmented policy', 'Find funding mechanisms', 'Raise awareness and collaboration']",,Low,True,True,False,False,,2.0,True,,,,,,,,,,0.0,False,,,,,,Global,Unknown,,,,,,,,,,,,,,,,,,,,,,
Governing Land Use Beyond Borders,2021,COUPLED,5,COUPLED,9.0,21.0,True,EU policy makers,interdisciplinary,neutral,22.6,0.48,0.52,14.2,16.5,True,Displaced environmental impacts of EU consumption,Telecoupling framework,global,Globalized trade flows and complex supply chains,"['Apply telecoupling frameworks', 'Ensure traceability and transparency', 'Recognise displaced environmental impacts', 'Ensure multi-stakeholder engagement', 'Fund research into telecoupling']","Unknown, needs further research",Low,False,False,False,True,,3.0,True,True,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmartLi - Smart Technologies for the Conversion of Industrial Lignin into Sustainable Materials The assessment of barriers and incentives for the market diffusion of lignin-based products,2017,Bio-based Industries Consortium,2,SmartLi,12.0,29.0,False,"R&D policy makers, industry stakeholders, researchers",interdisciplinary,neutral,22.6,0.48,0.55,14.2,16.2,True,Market diffusion of lignin-based products,Assessment of barriers and incentives,global,"Lack of awareness, technological challenges, economic factors","Further research and development, knowledge transfer, stakeholder collaboration, market analysis","Improved product performance, reduced costs, increased market adoption",,True,True,True,True,,0.0,False,,,,,,,,,,17.0,,,,,,,,,moderate,False,,,,,,,,,,,,,,,,,,,,
Policy Brief on the Concept of public engagement in bioeconomy,2020,Wissenschaftsladen Bonn,1,BLOOM (Boosting European citizens' knowledge and awareness of bioeconomy research and innovation),7.0,24.0,True,"Policy makers, researchers, educators, industry professionals, civil society organizations, and the general public",Interdisciplinary,Neutral,20,0.5,0.6,12.0,14,True,Low public awareness and engagement in bioeconomy,"Lack of knowledge, communication barriers, insufficient stakeholder involvement",Global,"Lack of awareness, communication gaps, limited stakeholder participation","Raising awareness, education and training, network extension, co-creation, fostering interdisciplinary dialogue",,Moderate,True,True,True,True,,10.0,True,False,,,,,,,,,2.0,,,,,"Partial, based on BLOOM project experiences",,,,,,,,,,,,,,,,,,,,,,,,,
First report on fact sheets and policy briefs,2018,,2,MAGIC (H2020-GA 689669),4.0,40.0,True,Policy-makers,Inter-/multidisciplinary,,,,,,,True,"Governance of complexity in the Nexus (water, energy, food, and environment)","Adaptive governance, co-production, uncomfortable knowledge",Global,"Linear economic models, ignoring biophysical limits, lack of adaptive governance",,,Low to moderate. The analysis identifies considerable uncertainties in the likely impacts of several proposed policies.,True,True,True,,,6.0,True,False,,,,,,,"['Internalisation of agricultural production', 'Decarbonisation of electricity', 'Minimum requirements for water reuse', 'Circular economy indicators']",True,1.0,,,,,"Partially. Some impacts are well-understood, but others are less clear, highlighting significant uncertainties.",,,,,,MAGIC NEXUS,Neutral,,,,,,,,,,,,,,,,,,
TERRA NOVA Policy Recommendations for Sustainable Landscape Management Strategies,2020,"TERRANOVA, a European Landscape Learning Initiative",5,TERRANOVA,10.0,18.0,True,"Policy makers, land managers, researchers, and stakeholders in landscape management",,Neutral,Cannot be calculated without automated sentence splitting and length calculation tools,Cannot be calculated without automated text analysis tools,Cannot be calculated without automated text analysis tools,,Cannot be calculated without automated readability tools,True,Biodiversity loss and climate change impacting European landscapes,"Landscape-based approach, deep history of human-environment interactions","Regional (Europe), global implications",Intensified human activities and climate change,"['Nuanced understanding of landscape history', 'Sustainable research and training networks', 'Give nature a larger room (rewilding)', 'Sustainable land management practices']","Improved ecosystem functions, transition to low-carbon society, increased biodiversity","Moderate; based on research findings and projections, but future uncertainties remain","Limited understanding of deep history, unsustainable subsidies in marginal areas, lack of integration between disciplines","Interdisciplinary research, integrated landscape analysis platform, communication and outreach activities, training of new generation of ESRs","Yes, future uncertainties in climate change and societal demands are discussed",Not explicitly detailed but implied through research projects and data collection,,11.0,True,,,,,,,,,,2.0,True,,Cannot be calculated without automated readability tools,,,,,,,,,,Interdisciplinary,,,,,,,,,,,,,,,,,
