doc_id,rec_id_p1,rec_id_p2,extraction_type_p1,extraction_type_p2,extraction_type_agree,actor_type_p1,actor_type_p2,actor_type_agree,instrument_type_p1,instrument_type_p2,instrument_type_agree,geographic_scope_p1,geographic_scope_p2,geographic_scope_agree,strength_p1,strength_p2,strength_agree,policy_domain_p1,policy_domain_p2,policy_domain_agree,target_raw_p1,timeframe_p1,confidence_p1,confidence_p2,confidence_delta
agora,agora_rec_001,agora_snip_001,recommendation,recommendation,True,,international_organizations,False,,,False,,,False,,,False,,,False,decision-makers in Tunisia and Morocco,,0.9,0.9,0.0
agora,agora_rec_002,agora_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
agora,agora_rec_002,agora_snip_002,recommendation,implementation_step,False,,,False,,,False,,,False,,,False,,,False,,,0.9,0.8,-0.09999999999999998
agora,agora_rec_003,agora_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
agora,agora_rec_004,agora_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
agora,agora_rec_004,agora_snip_002,recommendation,implementation_step,False,,,False,,,False,,,False,,,False,,,False,,,0.9,0.8,-0.09999999999999998
agora,agora_rec_005,agora_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
agora,agora_rec_006,agora_snip_001,recommendation,recommendation,True,international_organizations,international_organizations,True,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
agriforvalor,agriforvalor_rec_001,agriforvalor_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
agriforvalor,agriforvalor_rec_002,agriforvalor_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
agriforvalor,agriforvalor_rec_003,agriforvalor_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
agriforvalor,agriforvalor_rec_004,agriforvalor_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
agriforvalor,agriforvalor_rec_005,agriforvalor_snip_001,implementation_step,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_006,agriforvalor_snip_001,implementation_step,recommendation,False,,unspecified,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_007,agriforvalor_snip_001,implementation_step,recommendation,False,,unspecified,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_007,agriforvalor_snip_002,implementation_step,implementation_step,True,,,False,,,False,,,False,,,False,,,False,,,0.8,0.8,0.0
agriforvalor,agriforvalor_rec_008,agriforvalor_snip_001,implementation_step,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_009,agriforvalor_snip_001,implementation_step,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_010,agriforvalor_snip_001,implementation_step,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_011,agriforvalor_snip_001,implementation_step,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_012,agriforvalor_snip_001,expected_outcome,recommendation,False,,unspecified,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_012,agriforvalor_snip_002,expected_outcome,implementation_step,False,,unspecified,False,,,False,,,False,,,False,,,False,,,0.8,0.8,0.0
agriforvalor,agriforvalor_rec_013,agriforvalor_snip_001,expected_outcome,recommendation,False,,unspecified,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_014,agriforvalor_snip_001,expected_outcome,recommendation,False,,unspecified,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_015,agriforvalor_snip_001,expected_outcome,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_016,agriforvalor_snip_001,expected_outcome,expected_outcome,True,,,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_016,agriforvalor_snip_002,expected_outcome,recommendation,False,,international_organizations,False,,,False,,,False,,,False,,,False,,,0.8,0.8,0.0
agriforvalor,agriforvalor_rec_017,agriforvalor_snip_001,expected_outcome,expected_outcome,True,,,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_017,agriforvalor_snip_002,expected_outcome,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_018,agriforvalor_snip_001,expected_outcome,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_018,agriforvalor_snip_002,expected_outcome,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_019,agriforvalor_snip_001,expected_outcome,expected_outcome,True,,,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_020,agriforvalor_snip_001,expected_outcome,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_021,agriforvalor_snip_001,expected_outcome,recommendation,False,,unspecified,False,,,False,,,False,,,False,,,False,,,0.8,0.9,0.09999999999999998
agriforvalor,agriforvalor_rec_021,agriforvalor_snip_002,expected_outcome,expected_outcome,True,,,False,,,False,,,False,,,False,,,False,,,0.8,0.8,0.0
alterfor_1,alterfor_1_rec_001,alterfor_1_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,the managerial perspective from small-scale estates to landscapes,,0.9,0.9,0.0
alterfor_1,alterfor_1_rec_003,alterfor_1_snip_001,recommendation,recommendation,True,,government,False,,,False,,,False,,,False,,,False,more decision freedom to forest owners and managers,,0.9,0.9,0.0
alterfor_1,alterfor_1_rec_004,alterfor_1_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,forestry in the Netherlands,,0.9,0.9,0.0
alterfor_1,alterfor_1_rec_005,alterfor_1_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,ecosystem services and centralisation in forestry decision-making,,0.9,0.9,0.0
alterfor_1,alterfor_1_rec_006,alterfor_1_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,forest owners,,0.9,0.9,0.0
alterfor_1,alterfor_1_rec_007,alterfor_1_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.8,-0.09999999999999998
alterfor_1,alterfor_1_rec_009,alterfor_1_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,policy processes at the national and EU level,,0.9,0.9,0.0
alterfor_1,alterfor_1_rec_009,alterfor_1_snip_002,recommendation,implementation_step,False,,unspecified,False,,,False,,,False,,,False,,,False,policy processes at the national and EU level,,0.9,0.8,-0.09999999999999998
alterfor_1,alterfor_1_rec_010,alterfor_1_snip_001,recommendation,expected_outcome,False,,,False,,,False,,,False,,,False,,,False,implementation of the desirable silvicultural approaches,,0.9,0.9,0.0
alterfor_2,alterfor_2_rec_001,alterfor_2_snip_001,recommendation,policy_option,False,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
alterfor_2,alterfor_2_rec_003,alterfor_2_snip_001,recommendation,recommendation,True,,eu_institutions,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
b4est_1,b4est_1_rec_001,b4est_1_snip_001,recommendation,recommendation,True,,eu_institutions,False,,,False,,,False,,,False,,,False,the new EU forest strategy,,0.9,0.9,0.0
b4est_1,b4est_1_rec_002,b4est_1_snip_001,policy_option,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.85,0.9,0.050000000000000044
b4est_1,b4est_1_rec_002,b4est_1_snip_002,policy_option,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.85,0.8,-0.04999999999999993
b4est_1,b4est_1_rec_004,b4est_1_snip_001,policy_option,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.85,0.9,0.050000000000000044
b4est_1,b4est_1_rec_005,b4est_1_snip_001,policy_option,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.85,0.9,0.050000000000000044
b4est_1,b4est_1_rec_006,b4est_1_snip_001,policy_option,recommendation,False,,,False,,,False,,,False,,,False,,,False,,,0.85,0.9,0.050000000000000044
b4est_2,b4est_2_rec_001,b4est_2_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,seed orchards for Norway spruce,,0.9,0.9,0.0
b4est_2,b4est_2_rec_001,b4est_2_snip_002,recommendation,expected_outcome,False,,,False,,,False,,,False,,,False,,,False,seed orchards for Norway spruce,,0.9,0.9,0.0
b4est_2,b4est_2_rec_002,b4est_2_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
b4est_2,b4est_2_rec_003,b4est_2_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,end-users and stakeholders,,0.9,0.9,0.0
basajaun,basajaun_rec_001,basajaun_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
basajaun,basajaun_rec_002,basajaun_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
basajaun,basajaun_rec_003,basajaun_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
basajaun,basajaun_rec_004,basajaun_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
basajaun,basajaun_rec_005,basajaun_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
basajaun,basajaun_rec_006,basajaun_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
basajaun,basajaun_rec_006,basajaun_snip_002,recommendation,implementation_step,False,,,False,,,False,,,False,,,False,,,False,,,0.9,0.8,-0.09999999999999998
basajaun,basajaun_rec_007,basajaun_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
basajaun,basajaun_rec_007,basajaun_snip_002,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.8,-0.09999999999999998
basajaun,basajaun_rec_008,basajaun_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
basajaun,basajaun_rec_009,basajaun_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
basajaun,basajaun_rec_010,basajaun_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
basajaun,basajaun_rec_010,basajaun_snip_002,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.8,-0.09999999999999998
basajaun,basajaun_rec_011,basajaun_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
basajaun,basajaun_rec_012,basajaun_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
basajaun,basajaun_rec_013,basajaun_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
be-rural_1,be-rural_1_rec_001,be-rural_1_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,citizen dialogue and feedback on regional bioeconomy issues,,0.9,0.9,0.0
be-rural_1,be-rural_1_rec_001,be-rural_1_snip_002,recommendation,implementation_step,False,,,False,,,False,,,False,,,False,,,False,citizen dialogue and feedback on regional bioeconomy issues,,0.9,0.8,-0.09999999999999998
be-rural_1,be-rural_1_rec_002,be-rural_1_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,bioeconomy stakeholders in implementing capacity-building activities,,0.9,0.9,0.0
be-rural_1,be-rural_1_rec_003,be-rural_1_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,formulate inclusive bioeconomy strategies and roadmaps,,0.9,0.9,0.0
be-rural_1,be-rural_1_rec_004,be-rural_1_snip_001,recommendation,recommendation,True,,eu_institutions,False,,,False,,,False,,,False,,,False,based on real market needs and ecological limits,,0.9,0.9,0.0
be-rural_1,be-rural_1_rec_005,be-rural_1_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
be-rural_1,be-rural_1_rec_005,be-rural_1_snip_002,recommendation,implementation_step,False,,,False,,,False,,,False,,,False,,,False,,,0.9,0.8,-0.09999999999999998
be-rural_1,be-rural_1_rec_006,be-rural_1_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,support bioeconomy stakeholders in implementing capacity building activities,,0.9,0.9,0.0
be-rural_1,be-rural_1_rec_007,be-rural_1_snip_001,recommendation,recommendation,True,,eu_institutions,False,,,False,,,False,,,False,,,False,based on real market needs and ecological limits,,0.9,0.9,0.0
be-rural_2,be-rural_2_rec_001,be-rural_2_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,bio-based sector,,0.9,0.9,0.0
be-rural_2,be-rural_2_rec_002,be-rural_2_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,Quadruple Helix,,0.9,0.9,0.0
be-rural_2,be-rural_2_rec_003,be-rural_2_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,"sharing good practices, business models and mutual projects",,0.9,0.9,0.0
be-rural_2,be-rural_2_rec_004,be-rural_2_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,regional bioeconomy roadmaps and strategies,,0.9,0.9,0.0
be-rural_2,be-rural_2_rec_004,be-rural_2_snip_002,recommendation,actor_responsibility,False,,unspecified,False,,,False,,,False,,,False,,,False,regional bioeconomy roadmaps and strategies,,0.9,0.9,0.0
be-rural_2,be-rural_2_rec_005,be-rural_2_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,bioeconomy projects,,0.9,0.9,0.0
be-rural_2,be-rural_2_rec_006,be-rural_2_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,national strategic documents,,0.9,0.9,0.0
be-rural_2,be-rural_2_rec_006,be-rural_2_snip_002,recommendation,actor_responsibility,False,,government,False,,,False,,,False,,,False,,,False,national strategic documents,,0.9,0.9,0.0
be-rural_3,be-rural_3_rec_001,be-rural_3_snip_001,recommendation,recommendation,True,,eu_institutions,False,,,False,,,False,,,False,,,False,European technical group on bioeconomy sustainability,,0.9,0.9,0.0
be-rural_3,be-rural_3_rec_002,be-rural_3_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,regional-level data on water resources,,0.9,0.9,0.0
be-rural_3,be-rural_3_rec_002,be-rural_3_snip_002,recommendation,implementation_step,False,,,False,,,False,,,False,,,False,,,False,regional-level data on water resources,,0.9,0.8,-0.09999999999999998
be-rural_3,be-rural_3_rec_003,be-rural_3_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,EU Bioeconomy Monitoring System and Knowledge Centre for Biodiversity,,0.9,0.9,0.0
be-rural_3,be-rural_3_rec_004,be-rural_3_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,monitoring of soil health at regional level,,0.9,0.9,0.0
be-rural_3,be-rural_3_rec_004,be-rural_3_snip_002,recommendation,implementation_step,False,,,False,,,False,,,False,,,False,,,False,monitoring of soil health at regional level,,0.9,0.8,-0.09999999999999998
be-rural_3,be-rural_3_rec_005,be-rural_3_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,involvement of local stakeholders in carrying out sustainability screenings of regional bioeconomies,,0.8,0.9,0.09999999999999998
be-rural_3,be-rural_3_rec_005,be-rural_3_snip_002,recommendation,actor_responsibility,False,,unspecified,False,,,False,,,False,,,False,,,False,involvement of local stakeholders in carrying out sustainability screenings of regional bioeconomies,,0.8,0.9,0.09999999999999998
be-rural_3,be-rural_3_rec_006,be-rural_3_snip_001,recommendation,recommendation,True,,eu_institutions,False,,,False,,,False,,,False,,,False,EU Bioeconomy Monitoring System indicators to consider more remote-sensing based information,,0.8,0.9,0.09999999999999998
be-rural_3,be-rural_3_rec_007,be-rural_3_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,regional and local initiatives to generate region-specific data,,0.8,0.9,0.09999999999999998
be-rural_3,be-rural_3_rec_007,be-rural_3_snip_002,recommendation,implementation_step,False,,,False,,,False,,,False,,,False,,,False,regional and local initiatives to generate region-specific data,,0.8,0.8,0.0
be-rural_4,be-rural_4_rec_001,be-rural_4_snip_001,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
be-rural_4,be-rural_4_rec_001,be-rural_4_snip_002,recommendation,recommendation,True,,unspecified,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
be-rural_4,be-rural_4_rec_002,be-rural_4_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
be-rural_4,be-rural_4_rec_003,be-rural_4_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
be-rural_4,be-rural_4_rec_003,be-rural_4_snip_002,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
be-rural_4,be-rural_4_rec_004,be-rural_4_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
be-rural_4,be-rural_4_rec_005,be-rural_4_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,,,0.9,0.9,0.0
besafe,besafe_rec_001,besafe_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,biodiversity concerns across all policy sectors,,0.9,0.9,0.0
besafe,besafe_rec_002,besafe_snip_001,recommendation,recommendation,True,unspecified,unspecified,True,,,False,,,False,,,False,,,False,bottom-up collaborative decision-making processes,,0.9,0.9,0.0
besafe,besafe_rec_003,besafe_snip_001,recommendation,recommendation,True,,,False,,,False,,,False,,,False,,,False,the different types of arguments,,0.9,0.9,0.0
