doc_id,problem_status,problem_summary,solutions_count,solutions_status,implementation_status,implementation_count,narrative_hook_present,narrative_hook_type,problem_explicitly_labelled,solutions_explicitly_labelled,implementation_explicitly_labelled,procedural_clarity_status
agora,present,"The Mediterranean region faces socio-ecological challenges, including political instability, desertification, and insufficient research capacity in forest management, particularly in Tunisia and Morocco.",3,present,weak,0,True,statistic,True,True,False,weak
agriforvalor,present,"The document identifies barriers to innovation and research in the agriculture and forest sectors, particularly regarding the exploitation of biomass and the development of new business models.",10,present,weak,0,True,vivid example,True,True,False,weak
alterfor_1,present,"European forests face significant challenges including forest fires, ownership fragmentation, and the need for sustainable management practices to meet climate and biodiversity goals.",6,present,weak,0,True,statistic,True,True,False,weak
alterfor_2,present,"The management of European forests is controversial due to competing demands for climate mitigation, biodiversity, and sustainable forest management, leading to potential overexploitation and impacts on ecosystem services.",2,present,weak,0,True,provocative question,False,False,False,weak
b4est_1,present,"The document identifies climate change as a significant threat to forest health and productivity, leading to increased vulnerability to damage, disease, and economic losses, necessitating intervention through forest tree breeding.",5,present,weak,0,True,statistic,False,True,False,weak
b4est_2,present,"Climate change is expected to significantly impact forests and forest resource utilization in Nordic countries, necessitating changes in forest management for adaptation and mitigation.",3,present,weak,0,True,statistic,False,True,False,weak
be-rural_1,present,The document identifies the need for effective co-creation spaces in regional bioeconomies to enhance stakeholder engagement and address challenges in developing sustainable bioeconomy strategies.,4,present,weak,0,True,case study,True,True,False,weak
be-rural_2,present,The document identifies the need for the Western Balkan countries to mainstream the bioeconomy within the framework of the Instrument for Pre-Accession Assistance (IPA) to support sustainable development and economic recovery amidst global crises.,6,present,weak,0,True,contextual background on IPA and its relevance to the bioeconomy,True,True,False,weak
basajaun,present,"Construction wastes from wood-based materials are underutilized, leading to societal costs and environmental burdens, primarily due to incineration instead of material-based utilization.",5,present,weak,0,True,statistic,True,True,False,weak
be-rural_3,present,Rural areas face disproportionate challenges in assessing ecological boundaries for bioeconomy activities due to a lack of resources and capacities for evaluations like Life Cycle Assessments (LCA).,4,present,weak,0,True,contextual background,False,True,False,weak
