doc_id,rec_id,extraction_type,confidence,source_text,page,actor_raw,actor_type,action_raw,target_raw,instrument_type,strength,geographic_scope,timeframe,policy_domain,expected_outcomes,implementation_steps,trade_offs
agora,agora_rec_001,recommendation,0.9,"New scientific knowledge based on advancing and integrating research from different scientific areas and disciplines is needed, to support decision-makers in Tunisia and Morocco in developing their national forest programmes.",12,decision-makers in Tunisia and Morocco,international_organizations,support,national forest programmes,,,,,,,,
agora,agora_rec_002,recommendation,0.9,"Overcoming the existing fragmentation of forest research in Tunisia and Morocco (and also at a regional level), requires ambitious transnational ""south-south"" research partnerships involving:",12,,,overcoming fragmentation,forest research in Tunisia and Morocco,,,,,,,,
agora,agora_rec_003,recommendation,0.9,"Science-policy-practice interaction should be strengthened, to speed up the spread and integration of knowledge throughout the whole of society.",12,,,strengthen interaction,science-policy-practice,,,,,,,,
agora,agora_rec_004,recommendation,0.9,Improve higher education and provide new knowledge in key areas relevant for developing new forest management models and for ensuring the marketing of existing and new goods and services to create a more structured knowledge-based bio-economy in the region.,12,,,improve higher education,knowledge in key areas,,,,,,,,
agora,agora_rec_005,recommendation,0.9,Overturning the traditional fragmentation of forestry higher education in the region should involve the promotion and strengthening of initiatives like the Erasmus Mundus Master Course ‘MEDfOR –Mediterranean Forestry and Natural Resources Management’.,13,,,promote and strengthen initiatives,Erasmus Mundus Master Course ‘MEDfOR’,,,,,,,,
agora,agora_rec_006,recommendation,0.9,"To address the challenges and needs identified above, new interdisciplinary scientific knowledge, ambitious research partnerships and transnational coordination are needed.",14,,,address challenges and needs,new interdisciplinary scientific knowledge,,,,,,,,
agriforvalor,agriforvalor_rec_001,recommendation,0.9,The need to shift from energy production towards higher value products and multiple use of biomass resources: multi-cascading use of biomass,28,,,,,,,,,,,,
agriforvalor,agriforvalor_rec_002,recommendation,0.9,The need to think local and small: the promotion of small-scale bioenergy and biorefinery technologies built into new local value chains applying circular bioeconomy business models achieving sustainability,28,,,,,,,,,,,,
agriforvalor,agriforvalor_rec_003,recommendation,0.9,"The need for expert support, training and multi-actor networks to develop regional bioeconomies across Europe",28,,,,,,,,,,,,
agriforvalor,agriforvalor_rec_004,recommendation,0.9,"The development of effective, coherent and supportive bioeconomy policy incentives and strategies",28,,,,,,,,,,,,
alterfor_1,alterfor_1_rec_001,recommendation,0.9,It is imperative to help raise the managerial perspective from small-scale estates to landscapes.,4,government,government,help raise the managerial perspective from small-scale estates to landscapes,managerial perspective,,,,,,,,
alterfor_1,alterfor_1_rec_002,recommendation,0.9,The next step will be to communicate possible policy options to decision makers.,4,research team,research_institutions,communicate possible policy options to decision makers,policy options,,,,,,,,
alterfor_1,alterfor_1_rec_003,recommendation,0.9,"Legislation must be softened and planning procedures should become more flexible to make forest management more adaptive, to the benefit of forest owners’ economy and decision freedom.",5,government,government,soften legislation and make planning procedures more flexible,forest management,,,,,,,,
alterfor_1,alterfor_1_rec_004,recommendation,0.9,Policy makers must consider what kind of ecosystem services are primarily in focus (commodity versus amenity production) and the degree of centralisation in forestry decision-making.,6,policy makers,unspecified,consider ecosystem services and centralisation in forestry decision-making,ecosystem services,,,,,,,,
alterfor_1,alterfor_1_rec_005,recommendation,0.9,This calls for more attention to forestry in the Netherlands in general; and for more education and enhanced scientific knowledge that is usable by both forestry practitioners and forest policy makers.,6,policy makers,unspecified,increase attention to forestry and enhance education and scientific knowledge,forestry,,,,,,,,
alterfor_1,alterfor_1_rec_006,recommendation,0.9,Policy makers to put forward programs to educate and inform forest owners.,8,policy makers,unspecified,put forward programs to educate and inform forest owners,forest owners,,,,,,,,
alterfor_1,alterfor_1_rec_007,recommendation,0.9,"To maximise knowledge transfer and cross-border learning, ALTERFOR employs different modes of interactions between science and practice.",9,ALTERFOR,unspecified,employ different modes of interactions between science and practice,knowledge transfer,,,,,,,,
alterfor_1,alterfor_1_rec_008,recommendation,0.9,The next steps of ALTERFOR will support policy processes at the national and EU level by quantitatively assessing ecosystem services due to the introduction of management approaches at the landscape level.,9,ALTERFOR,unspecified,support policy processes at the national and EU level,policy processes,,,,,,,,
alterfor_2,alterfor_2_rec_001,recommendation,0.9,"To address the strategies of the Green Deal, a realistic option is to combine the alternative management models.",14,EU policymakers,eu_institutions,combine the alternative management models,strategies of the Green Deal,,,,,,"[""improving carbon sink"", ""limiting the loss of biodiversity""]","[""let 25% productive forest successively be set aside (SM)"", ""have the remaining 75% follow PM"", ""achieve wood production at similar levels using a strategy involving 75% MM and 25% PM""]","[""limited impact on wood production"", ""decrease required compensation payments"", ""leakage effects compared to other strategies""]"
alterfor_2,alterfor_2_rec_002,recommendation,0.9,"Given the outlined complex tradeoffs between timber production, biodiversity and carbon balance, it can be recommended that future efforts to upgrade EU forest strategy avoids radical shifts towards any extremes, and instead focus on innovative and incentivizing mixes of policy tools, if synergetic effects across sectors are to be raised.",15,EU policymakers,eu_institutions,focus on innovative and incentivizing mixes of policy tools,EU forest strategy,,,,,,"[""synergetic effects across sectors""]","[""avoid radical shifts towards any extremes""]","[""complex tradeoffs between timber production, biodiversity and carbon balance""]"
